obsolete_hs10,new_hs10,source_file,source_url,source_sha256,checked_on
0709599000,0709529000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709591000,0709531000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709599000,0709539000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709591000,0709541000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709599000,0709549000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709591000,0709551000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709599000,0709559000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709592000,0709560000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709591000,0709591000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
0709599000,0709599000,conc-10-stats-2022.xlsx,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,603892b51de70231,2026-09-07
