obsolete_hs10,obsolete_desc_en,new_hs10,new_desc_en,same_code,mechanical_relation,mapping_type,source_file,checked_on
0704901000,"Broccoli, nes, for processing, fresh or chilled",0704102000,"Broccoli, nes, for processing, fresh or chilled",False,same heading,one to one,conc-10-stats-2022.xlsx,2026-09-07
0704902100,"Broccoli, nes, fresh/chilled, imported during period specified by CBSA President",0704103100,"Broccoli, nes, fresh/chilled, imported period specified by PSEP/CBSA President",False,same heading,one to one,conc-10-stats-2022.xlsx,2026-09-07
0704109010,"Cauliflowers and headed broccoli, fresh or chilled, nes, certified organic",0704103910,"Broccoli, nes, fresh or chilled, certified organic",False,same subheading,many to many,conc-10-stats-2022.xlsx,2026-09-07
0704902910,"Broccoli, nes, fresh or chilled, certified organic",0704103910,"Broccoli, nes, fresh or chilled, certified organic",False,same heading,merge,conc-10-stats-2022.xlsx,2026-09-07
0704109020,"Cauliflowers and headed broccoli, fresh or chilled, nes, not certified organic",0704103920,"Broccoli, nes, fresh or chilled, not certified organic",False,same subheading,many to many,conc-10-stats-2022.xlsx,2026-09-07
0704902920,"Broccoli, nes, fresh or chilled, not certified organic",0704103920,"Broccoli, nes, fresh or chilled, not certified organic",False,same heading,merge,conc-10-stats-2022.xlsx,2026-09-07
0704109010,"Cauliflowers and headed broccoli, fresh or chilled, nes, certified organic",0704109030,"Cauliflowers, nes, fresh or chilled, nes, certified organic",False,same subheading,split,conc-10-stats-2022.xlsx,2026-09-07
0704109020,"Cauliflowers and headed broccoli, fresh or chilled, nes, not certified organic",0704109040,"Cauliflowers, nes, fresh or chilled, nes, not certified organic",False,same subheading,split,conc-10-stats-2022.xlsx,2026-09-07
0709591000,"Mushrooms, o/t Agaricus, for processing, fresh or chilled, nes",0709521000,"Mushrooms, of the genus Boletus, fresh or chilled, for processing",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0709599000,"Mushrooms, o/t Agaricus, o/t for processing, fresh or chilled, nes",0709529000,"Mushrooms, of the genus Boletus, fresh or chilled, o/t for processing",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0709591000,"Mushrooms, o/t Agaricus, for processing, fresh or chilled, nes",0709531000,"Mushrooms, of the genus Cantharellus, fresh or chilled, for processing",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0709599000,"Mushrooms, o/t Agaricus, o/t for processing, fresh or chilled, nes",0709539000,"Mushrooms, of the genus Cantharellus, fresh or chilled, o/t for processing",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0709591000,"Mushrooms, o/t Agaricus, for processing, fresh or chilled, nes",0709541000,"Shiitake (Lentinus edodes), fresh or chilled, for processing",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0709599000,"Mushrooms, o/t Agaricus, o/t for processing, fresh or chilled, nes",0709549000,"Shiitake (Lentinus edodes), fresh or chilled, o/t for processing",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0709591000,"Mushrooms, o/t Agaricus, for processing, fresh or chilled, nes",0709551000,"Matsutake, fresh or chilled, for processing",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0709599000,"Mushrooms, o/t Agaricus, o/t for processing, fresh or chilled, nes",0709559000,"Matsutake, fresh or chilled, o/t for processing",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0709592000,"Truffles, fresh or chilled",0709560000,"Truffles (Tuber spp.), fresh or chilled",False,same heading,one to one,conc-10-stats-2022.xlsx,2026-09-07
